timestamp,station_id,temperature_c,pressure_hpa,relative_humidity_pct
2009-01-01 00:10:00,JENA_001,-8.02,996.52,93.3
2009-01-01 00:20:00,JENA_001,-8.41,996.57,93.4
2009-01-01 00:30:00,JENA_001,-8.51,996.53,93.9
2009-01-01 00:40:00,JENA_001,-8.31,996.51,94.2
2009-01-01 00:50:00,JENA_001,-8.27,996.51,94.1
2009-01-01 01:00:00,JENA_001,-8.05,996.5,94.4
2009-01-01 01:10:00,JENA_001,-7.62,996.5,94.8
2009-01-01 01:20:00,JENA_001,-7.62,996.5,94.4
2009-01-01 01:30:00,JENA_001,-7.91,996.5,93.8
2009-01-01 01:40:00,JENA_001,-8.43,996.53,93.1
2009-01-01 01:50:00,JENA_001,-8.76,996.62,93.1
2009-01-01 02:00:00,JENA_001,-8.88,996.62,93.2
2009-01-01 02:10:00,JENA_001,-8.85,996.63,93.5
2009-01-01 02:20:00,JENA_001,-8.83,996.74,93.5
2009-01-01 02:30:00,JENA_001,-8.66,996.81,93.9
2009-01-01 02:40:00,JENA_001,-8.66,996.81,93.6
2009-01-01 02:50:00,JENA_001,-8.7,996.86,93.5
2009-01-01 03:00:00,JENA_001,-8.81,996.84,93.5
2009-01-01 03:10:00,JENA_001,-8.84,996.87,93.5
2009-01-01 03:20:00,JENA_001,-8.94,996.97,93.3
2009-01-01 03:30:00,JENA_001,-8.94,997.08,93.4
2009-01-01 03:40:00,JENA_001,-8.86,997.1,93.1
2009-01-01 03:50:00,JENA_001,-8.99,997.06,92.4
2009-01-01 04:00:00,JENA_001,-9.05,996.99,92.6
2009-01-01 04:10:00,JENA_001,-9.23,997.05,92.2
2009-01-01 04:20:00,JENA_001,-9.49,997.11,92.0
2009-01-01 04:30:00,JENA_001,-9.5,997.19,92.3
2009-01-01 04:40:00,JENA_001,-9.35,997.24,92.8
2009-01-01 04:50:00,JENA_001,-9.47,997.37,92.4
2009-01-01 05:00:00,JENA_001,-9.63,997.46,92.2
2009-01-01 05:10:00,JENA_001,-9.67,997.43,92.6
2009-01-01 05:20:00,JENA_001,-9.68,997.42,92.0
2009-01-01 05:30:00,JENA_001,-9.9,997.53,91.7
2009-01-01 05:40:00,JENA_001,-9.91,997.6,92.4
2009-01-01 05:50:00,JENA_001,-9.51,997.62,93.4
2009-01-01 06:00:00,JENA_001,-9.67,997.71,92.7
2009-01-01 06:10:00,JENA_001,-9.59,997.81,93.2
2009-01-01 06:20:00,JENA_001,-9.15,997.86,93.3
2009-01-01 06:30:00,JENA_001,-8.91,998.0,92.5
2009-01-01 06:40:00,JENA_001,-9.04,998.14,91.9
2009-01-01 06:50:00,JENA_001,-9.43,998.21,91.3
2009-01-01 07:00:00,JENA_001,-9.17,998.33,92.9
2009-01-01 07:10:00,JENA_001,-8.71,998.5,93.0
2009-01-01 07:20:00,JENA_001,-8.55,998.59,93.0
2009-01-01 07:30:00,JENA_001,-8.4,998.79,93.1
2009-01-01 07:40:00,JENA_001,-8.3,998.86,93.1
